id,host_id,street,city,suburb,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
15922105,99945181,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81045458,144.9601261,Serviced apartment,Entire home/apt,6,2,3,174,,,150,65,4,40,1,1125,2 weeks ago,t,1,4,8,141,158,98,10,10,10,10,10,10,5,8.59
22958696,96494136,South Melbourne,Port Phillip,South Melbourne,VIC,3205,-37.83051569,144.9495042,Serviced apartment,Entire home/apt,6,2,3,145,,,125,62,4,38,1,1125,2 weeks ago,t,1,10,15,37,85,96,10,10,9,10,10,9,4,8.39
24484923,153860805,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81919712,144.9548932,Serviced apartment,Entire home/apt,6,2,3,159,,,300,69,2,15,1,1125,7 weeks ago,t,14,32,56,56,61,95,10,10,9,10,10,10,3,8.13
19089993,30261722,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81481599,144.9663132,Apartment,Entire home/apt,6,2,4,138,,,299,49,1,0,1,1125,today,t,18,32,62,62,148,97,10,9,10,10,10,10,8,8.13
22133846,50686026,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81446592,144.9533272,Apartment,Entire home/apt,2,1,1,299,,,200,65,1,0,2,90,2 weeks ago,t,9,21,51,160,96,98,10,10,10,10,10,10,2,8.07
6516619,18076864,Richmond,Yarra,Richmond,VIC,3121,-37.8228561,144.9909927,Apartment,Entire home/apt,2,1,1,96,770,2800,,49,1,0,1,1125,today,t,6,31,51,315,347,98,10,10,10,10,10,10,2,8.07
28625680,66655554,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81572148,144.9554883,Apartment,Entire home/apt,7,2,4,216,,,300,99,4,20,1,1125,5 days ago,t,10,25,55,141,18,90,10,9,9,10,10,10,4,8.06
29476373,77881340,Melbourne,Melbourne,Melbourne,VIC,3000,-37.82168661,144.9555122,Apartment,Entire home/apt,2,1,1,90,,,,,1,10,1,3,2 days ago,t,9,13,31,31,11,91,9,9,9,9,10,9,1,8.05
26043174,52982701,Warburton,Yarra Ranges,Warburton,VIC,3799,-37.75843702,145.7071614,Tiny house,Entire home/apt,2,0,1,180,,,250,74,1,0,2,1125,yesterday,t,2,20,47,129,41,100,10,10,10,10,10,10,1,8.04
12455122,62166053,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81812988,144.9563623,Apartment,Entire home/apt,4,1,2,109,,,200,45,2,15,1,20,a week ago,t,1,3,13,80,230,97,10,10,10,10,10,10,2,8.03
20426912,145730368,Northcote,Darebin,Northcote,VIC,3070,-37.77485856,144.9923666,Guest suite,Entire home/apt,2,0,1,100,,,0,15,1,0,1,14,2 days ago,t,6,21,49,49,126,100,10,10,10,10,10,10,1,8.01
5952338,30900122,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81690078,144.9522015,Apartment,Entire home/apt,4,1,2,140,1300,5200,200,65,2,15,1,1125,today,t,12,24,44,310,351,97,10,10,10,10,10,10,35,8.01
29884060,102792740,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81438597,144.9541713,Apartment,Entire home/apt,2,1,1,138,,,200,20,1,10,1,1125,4 days ago,t,21,51,79,118,8,98,10,9,10,10,10,9,4,8
21489744,57241023,Docklands,Melbourne,Docklands,VIC,3008,-37.82185285,144.9438663,Apartment,Entire home/apt,2,1,1,150,,,300,50,2,30,1,50,today,t,6,14,22,92,108,96,10,10,10,10,10,10,4,7.98
26860358,24980853,Doncaster,Manningham,Doncaster,VIC,3108,-37.78224923,145.1285173,Apartment,Entire home/apt,6,2,3,169,,,0,85,4,15,1,1125,yesterday,t,6,29,59,175,9,100,10,10,10,10,10,10,2,7.94
14129846,30261722,Melbourne,Melbourne,Melbourne,Victoria,3004,-37.81727915,144.9538226,Apartment,Entire home/apt,4,1,2,109,,,299,49,1,0,1,1125,today,t,9,33,63,63,229,94,10,9,10,10,10,9,8,7.93
27542592,207778250,Melbourne,Melbourne,Melbourne,VIC,3000,-37.80731876,144.9600196,Apartment,Entire home/apt,7,2,4,165,,,0,120,1,0,1,1125,4 days ago,t,5,14,26,78,31,97,10,9,9,10,10,10,4,7.88
25169449,8530753,Southbank,Melbourne,Southbank,VIC,3006,-37.82458681,144.9628475,Apartment,Entire home/apt,6,2,3,154,,,299,89,4,14,1,1124,today,t,19,37,67,336,46,95,10,10,9,9,10,10,98,7.84
26369000,99299233,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81601622,144.9657217,Apartment,Entire home/apt,2,1,0,130,,,160,50,1,0,1,1125,2 weeks ago,t,22,36,61,61,40,96,10,10,10,10,10,10,1,7.84
27497868,207219509,Gruyere,Yarra Ranges,Gruyere,VIC,3770,-37.69787277,145.4401083,House,Entire home/apt,2,1,1,450,,,200,40,2,25,1,50,today,t,15,28,54,141,29,99,10,10,10,10,10,10,3,7.84
29270070,146033888,Melbourne,Melbourne,Melbourne,VIC,3000,-37.82041374,144.9568559,Apartment,Private room,2,1,1,89,,,2000,10,2,15,1,1125,today,t,5,5,5,5,13,98,10,10,10,10,10,10,1,7.8
22001398,160656871,Melbourne,Melbourne,Melbourne,VIC,3004,-37.80777211,144.9587328,Serviced apartment,Entire home/apt,6,2,2,165,,,200,75,4,30,1,35,yesterday,t,20,44,74,74,96,98,10,10,10,10,10,9,2,7.76
25522162,41431921,Jacana,Hume,Jacana,VIC,3047,-37.68761207,144.9075052,House,Private room,2,1,1,60,,,0,15,1,0,1,7,today,t,23,52,82,82,31,97,9,9,10,10,10,10,1,7.75
26378706,53107966,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81549967,144.9551913,Apartment,Entire home/apt,4,2,2,186,,,0,60,4,50,1,1125,3 weeks ago,t,0,2,15,15,39,92,10,9,9,10,10,9,3,7.75
21515837,98543150,Melbourne,Melbourne,Melbourne,VIC,3000,-37.803557,144.9594185,Apartment,Entire home/apt,2,1,1,115,,,,,4,0,1,30,4 weeks ago,t,11,33,48,323,93,89,9,9,10,9,10,9,4,7.75
8596945,36172263,Kangaroo Ground,Nillumbik,Kangaroo Ground,VIC,3097,-37.68898723,145.2462289,Cabin,Entire home/apt,3,0,2,138,,,0,34,2,29,1,10,yesterday,t,10,21,34,86,209,98,10,10,10,10,10,10,2,7.72
21508451,72041390,Melbourne,Melbourne,Melbourne,VIC,3000,-37.80847112,144.9609082,Apartment,Entire home/apt,5,2,2,159,,,200,100,4,30,1,7,today,t,9,23,53,78,103,97,10,10,10,10,10,10,5,7.71
19353868,72041390,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81763363,144.9559023,Apartment,Entire home/apt,6,2,2,159,,,200,100,4,30,1,7,today,t,1,13,43,68,114,96,10,10,10,10,10,10,5,7.67
26829015,161357286,West Melbourne,Melbourne,West Melbourne,VIC,3003,-37.80758301,144.9481183,Apartment,Entire home/apt,5,2,2,119,,,5000,99,4,40,1,60,today,t,5,15,30,30,34,94,9,10,10,10,9,9,3,7.67
25527292,53107966,Docklands,Melbourne,Docklands,VIC,3008,-37.81420934,144.9484262,Apartment,Entire home/apt,6,2,3,130,,,0,60,4,20,1,1125,3 weeks ago,t,0,1,8,9,46,91,9,9,9,9,10,9,3,7.58
29201038,170880128,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81138001,144.9596207,Condominium,Entire home/apt,5,2,3,138,,,300,80,4,20,1,21,today,t,10,24,30,34,12,95,10,10,10,10,10,10,2,7.5
29044137,478336,Fairfield,Darebin,Fairfield,VIC,3078,-37.76960604,145.0216133,Apartment,Private room,2,1,1,37,,,500,0,1,10,2,10,yesterday,t,11,29,29,29,12,98,10,10,10,10,9,10,1,7.5
16997559,22458269,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81575776,144.9699487,Apartment,Entire home/apt,2,1,1,123,,,0,60,1,0,1,60,a week ago,t,11,26,42,222,159,96,10,10,10,10,10,10,1,7.48
12837696,70094226,Warburton,Yarra Ranges,Warburton,VIC,3799,-37.75759899,145.6833954,Apartment,Entire home/apt,3,0,2,64,,,0,36,2,20,1,1125,2 weeks ago,t,6,15,44,134,230,97,10,10,10,10,10,10,1,7.42
23841254,15992505,Diggers Rest,Hume,Diggers Rest,VIC,3427,-37.64882155,144.7548758,House,Entire home/apt,6,2,2,79,,,0,45,2,15,1,28,today,t,5,18,45,45,55,98,10,10,10,10,9,10,3,7.4
26628971,200175195,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81637279,144.9538423,Condominium,Entire home/apt,9,2,6,100,,,300,79,4,20,1,1125,yesterday,t,9,30,60,229,36,93,10,9,10,10,10,9,2,7.4
